community_name,community_tier,region_name,gaming_platform
"Abyss Walker",Amateur,Asia-Pacific,"Discord Hub"
"Ace Pack",Amateur,Brazil,"Xbox Live"
"Aero Force",Amateur,"United Kingdom","Discord Hub"
"Alpha Wolves",Amateur,"Global West","Discord Hub"
"Antimatter Legion",Semi-Pro,Uruguay,"PlayStation Network"
"Antimatter Unit",Semi-Pro,"United States","Discord Hub"
"Apex Core",Semi-Pro,"Costa Rica","Discord Hub"
"Apex Elite",Amateur,Thailand,"Discord Hub"
"Apex Genesis",Semi-Pro,Turkey,"PC Steam"
"Apex Guard",Amateur,Netherlands,"Discord Hub"
"Apex Horizon",Amateur,"Eastern Europe","Xbox Live"
"Apex Matrix",Professional,Serbia,"Discord Hub"
"Apex Nexus",Amateur,Macau,"Discord Hub"
"Apex Shield",Semi-Pro,Kenya,"Discord Hub"
"Apex Shift",Amateur,Netherlands,"Discord Hub"
"Apex Skyline",Amateur,Lithuania,"Discord Hub"
"Arcane Brotherhood",Semi-Pro,Thailand,"PlayStation Network"
"Arcane Sect",Professional,Nicaragua,"Discord Hub"
"Arcane Wolves",Amateur,Europe,"PC Steam"
"Black Hole Squad",Semi-Pro,"Global East","Nintendo Switch Online"
