community_name,region_name,member_count,region_avg
"Reaper Crew",Netherlands,68819,34527.0000
"Apex Nexus",Macau,68819,23206.3333
"Apex Shift",Netherlands,68819,34527.0000
"Raven Guard",Mexico,58240,10068.3333
"Fallen Angels",Kazakhstan,31155,20994.6667
"Primal Shield","Saudi Arabia",31155,11228.3333
"Dark Matter Vanguard",Kazakhstan,31155,20994.6667
"Forest Wolves",Kenya,19467,13016.3333
"Primal Vanguard",Hungary,19467,16589.5000
"Black Ops Special",Kenya,19467,13016.3333
"Delta Genesis",Hungary,19467,16589.5000
Warpath,Tunisia,15277,10544.0000
"Neon Vanguard",Greece,15277,13376.0000
"Crossfire Core",Tunisia,15277,10544.0000
"Stellar Horizon Unit",Greece,15277,13376.0000
"Comet Strike",Argentina,14577,4017.7500
"Primal Apex",Canada,13712,5295.1667
"Sky Wolves",Malaysia,13592,9227.3333
"Nova Force","Central America",13592,7323.0000
"Pixel Vanguard",Malaysia,13592,9227.3333
