community_name,community_tier,tournaments_hosted,tier_avg_tournaments
"Solar Monks",Semi-Pro,12,2.6154
"Stellar Nexus",Semi-Pro,12,2.6154
"Stellar Shift",Amateur,12,1.2113
"Eco Force",Professional,11,2.0141
"Raging Bulls",Semi-Pro,11,2.6154
"Delta Shield",Professional,11,2.0141
"Primal Core",Professional,11,2.0141
"Primal Zenith",Amateur,11,1.2113
"Emerald Vanguard",Amateur,11,1.2113
Hellfire,Professional,9,2.0141
"Echo Shield",Professional,9,2.0141
"Night Stalker Core",Amateur,9,1.2113
Velocity,Semi-Pro,8,2.6154
"Rune Masters",Semi-Pro,8,2.6154
"Solar Flares",Amateur,8,1.2113
"Iron Guard",Amateur,8,1.2113
"War Hammer Core",Amateur,8,1.2113
"Shadow Vanguard",Professional,8,2.0141
"Iron Genesis",Amateur,8,1.2113
"Sky Wolves",Semi-Pro,7,2.6154
"Night Stalker",Semi-Pro,7,2.6154
"Nova Force",Amateur,7,1.2113
"Midnight Shadows",Semi-Pro,7,2.6154
"Pixel Vanguard",Amateur,7,1.2113
"Typhoon Core",Professional,7,2.0141
"Fallen Angels Core",Amateur,7,1.2113
"Cyber Skyline",Semi-Pro,7,2.6154
"Frost Warriors",Professional,6,2.0141
"Black Hole Squad",Semi-Pro,6,2.6154
"War Eagles",Semi-Pro,6,2.6154
"Warp Riders",Semi-Pro,6,2.6154
"Desert Fox",Semi-Pro,6,2.6154
"Eclipse Hunters",Professional,6,2.0141
"Specter Division",Semi-Pro,6,2.6154
"Aero Force",Amateur,6,1.2113
"Titan Guard",Professional,6,2.0141
"Neon Dragons",Semi-Pro,6,2.6154
"Shadow Elite",Amateur,6,1.2113
"Iron Shield",Amateur,6,1.2113
"Solar Nexus",Professional,6,2.0141
"Iron Nexus",Amateur,6,1.2113
"Solar Shift",Amateur,6,1.2113
"Iron Shift",Professional,6,2.0141
"Cyber Matrix",Semi-Pro,6,2.6154
"Vector Matrix",Amateur,6,1.2113
"Dark Matter Core",Semi-Pro,6,2.6154
"Sky Pack",Semi-Pro,6,2.6154
"Sky Titans Force",Professional,6,2.0141
"Rustic Division",Amateur,6,1.2113
"Phantom Vanguard",Professional,6,2.0141
"Shadow Genesis",Semi-Pro,6,2.6154
"Void Walker",Amateur,6,1.2113
"Abyss Walker",Amateur,6,1.2113
"Frozen North",Semi-Pro,5,2.6154
Starfall,Semi-Pro,5,2.6154
"Emerald Legion",Semi-Pro,5,2.6154
"Titan Fall",Semi-Pro,5,2.6154
"Void Reapers",Semi-Pro,5,2.6154
"Shadow Hunters",Semi-Pro,5,2.6154
"Vortex Clan",Semi-Pro,5,2.6154
"Iron Elite",Amateur,5,1.2113
"Neon Shield",Semi-Pro,5,2.6154
"Shadow Shield",Amateur,5,1.2113
"Midnight Shield",Amateur,5,1.2113
"Neon Matrix",Semi-Pro,5,2.6154
"Input Lag Unit",Professional,5,2.0141
"Forest Pack",Amateur,5,1.2113
"Storm Hawks Unit",Amateur,5,1.2113
"Shadow Council Core",Amateur,5,1.2113
"Antimatter Unit",Semi-Pro,5,2.6154
"Sakura Blades Force",Semi-Pro,5,2.6154
"Shadow Skyline",Amateur,5,1.2113
Thundercats,Semi-Pro,4,2.6154
"Ghost Protocol",Semi-Pro,4,2.6154
"Crimson Pact",Semi-Pro,4,2.6154
"Delta Squad",Semi-Pro,4,2.6154
"Midnight Elite",Amateur,4,1.2113
"Iron Core",Professional,4,2.0141
"Iron Horizon",Amateur,4,1.2113
"Packet Droppers",Professional,4,2.0141
"Helix Hunters Core",Professional,4,2.0141
"Silent Killers Unit",Semi-Pro,4,2.6154
"Byte Force",Semi-Pro,3,2.6154
"Momentum Pack",Semi-Pro,3,2.6154
"Savage Storm",Semi-Pro,3,2.6154
"Shadow Council",Semi-Pro,3,2.6154
"Silent Shadows",Professional,3,2.0141
"Frost Bite",Professional,3,2.0141
"Frost Vanguard",Amateur,3,1.2113
"Shadow Core",Amateur,3,1.2113
"Shadow Horizon",Amateur,3,1.2113
"Viper Claw",Amateur,3,1.2113
"Galaxy Watch",Amateur,3,1.2113
"Solar Eclipse",Amateur,3,1.2113
"Neon Eagles Squad",Professional,3,2.0141
"Solar Genesis",Professional,3,2.0141
"Neon Horizon Unit",Amateur,3,1.2113
"Primal Rage",Amateur,2,1.2113
"Impact Wolves",Amateur,2,1.2113
"Solstice Squad",Amateur,2,1.2113
"Rapid Fire",Amateur,2,1.2113
"Primal Surge",Amateur,2,1.2113
"Vector Guard",Amateur,2,1.2113
"Solar Apex",Amateur,2,1.2113
"Solar Matrix",Amateur,2,1.2113
"Broken Arrow Elite",Amateur,2,1.2113
"Hellstorm Elite",Amateur,2,1.2113
