community_name,community_tier,active_players,rank_in_tier
"Apex Nexus",Amateur,8596,1
"Apex Shift",Amateur,8596,1
"Primal Shield",Amateur,5584,3
"Dark Matter Vanguard",Amateur,5584,3
"Crossfire Core",Amateur,5303,5
"Fallen Angels Core",Amateur,3900,6
"Nova Force",Amateur,3900,6
"Pixel Vanguard",Amateur,3900,6
"Primal Vanguard",Amateur,3384,9
"Delta Genesis",Amateur,3384,9
"Shadow Core",Amateur,3270,11
"Shadow Horizon",Amateur,3270,11
"Primal Matrix",Amateur,3220,13
"Specter Core",Amateur,2863,14
"Sun Walker",Amateur,2863,14
"Solar Guardians",Amateur,2863,14
"Midnight Skyline",Amateur,2486,17
"Solar Elite",Amateur,2486,17
"War Hawks",Amateur,2466,19
"Solar Shield",Amateur,2204,20
"Rustic Division",Amateur,1953,21
"Aero Force",Amateur,1953,21
"Void Walker",Amateur,1953,21
"Solar Shift",Amateur,1341,24
"Phoenix Wings",Amateur,1285,25
"Equinox Division",Amateur,1265,26
"Cyber Strike",Amateur,1265,26
"Vector Genesis",Amateur,1265,26
"Dragon Scale Elite",Amateur,1248,29
"Stellar Apex",Amateur,1228,30
