game_name,community_1,community_2
"Apex Legends","Frozen North","Giga Byte"
"Apex Legends","Frozen North","Primal Horizon Unit"
"Apex Legends","Frozen North","Delta Shift"
"Apex Legends","Frozen North","Stellar Core"
"Apex Legends","Clutch Factor","Midnight Blade"
"Apex Legends","Frozen North","Wild Fire"
"Apex Legends","Frozen North","Midnight Blade"
"Apex Legends","Frozen North","Vector Nexus"
"Apex Legends","Frozen North","Warp Force"
"Apex Legends","Frozen North","Cyber Genesis"
"Apex Legends","Frozen North","Solar Flares Unit"
"Apex Legends","Clutch Factor","Black Ops Unit"
"Apex Legends","Frozen North","Echo Genesis"
"Apex Legends","Frozen North","Shadow Nexus"
"Apex Legends","Frozen North","Galaxy Pact"
"Apex Legends","Frozen North","Black Ops Unit"
"Apex Legends","Frozen North","Midnight Shift"
"Apex Legends","Frozen North","Input Lag Unit"
"Apex Legends","Frozen North","Warp Guard"
"Apex Legends","Frozen North","Midnight Shield"
"Apex Legends","Frozen North","Storm Hawks"
"Apex Legends","Clutch Factor","Solstice Squad"
"Apex Legends","Frozen North","Thunder Core"
"Apex Legends","Frozen North","War Hammer Core"
"Apex Legends","Clutch Factor","Galaxy Pact"
"Apex Legends","Frozen North","Clutch Factor"
"Apex Legends","Frozen North","Sun Walker"
"Apex Legends","Clutch Factor","Storm Hawks"
"Apex Legends","Frozen North","Wild Fire Elite"
"Apex Legends","Frozen North","Solstice Squad"
