community_id,community_name,game_id,play_designation
353,Abyss Walker,8,Primary
353,Abyss Walker,13,Secondary
14,Ace Pack,1,Primary
14,Ace Pack,6,Secondary
103,Aero Force,3,Primary
103,Aero Force,15,Secondary
118,Alpha Wolves,4,Primary
118,Alpha Wolves,5,Secondary
80,Antimatter Legion,3,Primary
301,Antimatter Unit,3,Secondary
301,Antimatter Unit,4,Primary
179,Apex Core,4,Primary
179,Apex Core,14,Secondary
153,Apex Elite,4,Primary
153,Apex Elite,11,Secondary
330,Apex Genesis,10,Secondary
330,Apex Genesis,14,Primary
125,Apex Guard,4,Primary
125,Apex Guard,8,Secondary
208,Apex Horizon,1,Primary
208,Apex Horizon,12,Secondary
234,Apex Matrix,2,Secondary
234,Apex Matrix,3,Primary
192,Apex Nexus,9,Primary
166,Apex Shield,4,Primary
166,Apex Shield,5,Secondary
221,Apex Shift,8,Primary
343,Apex Skyline,14,Primary
57,Arcane Brotherhood,14,Primary
280,Arcane Sect,1,Primary
280,Arcane Sect,12,Secondary
2,Arcane Wolves,3,Primary
21,Black Hole Squad,1,Primary
21,Black Hole Squad,12,Secondary
262,Black Ops Special,8,Secondary
262,Black Ops Special,11,Primary
39,Black Ops Unit,7,Primary
110,Blaze Guard,16,Primary
259,Broken Arrow Elite,9,Primary
259,Broken Arrow Elite,17,Secondary
36,Broken Arrow Real,14,Primary
13,Byte Force,6,Secondary
13,Byte Force,14,Primary
314,Chaos Force,14,Primary
93,Chaos Legion,16,Primary
9,Clutch Factor,7,Primary
350,Comet Strike,9,Secondary
350,Comet Strike,12,Primary
313,Crimson Brotherhood,4,Primary
313,Crimson Brotherhood,9,Secondary
85,Crimson Dragon,4,Primary
85,Crimson Dragon,17,Secondary
306,Crimson Dragon Core,6,Primary
92,Crimson Pact,2,Primary
92,Crimson Pact,7,Secondary
265,Crossfire Core,2,Primary
42,Crossfire Unit,3,Secondary
42,Crossfire Unit,10,Primary
63,Crystal Spire,12,Secondary
63,Crystal Spire,13,Primary
286,Crystal Spire Core,1,Primary
286,Crystal Spire Core,15,Secondary
177,Cyber Core,1,Primary
177,Cyber Core,6,Secondary
143,Cyber Elite,3,Primary
328,Cyber Genesis,7,Primary
151,Cyber Guard,13,Primary
151,Cyber Guard,16,Secondary
206,Cyber Horizon,1,Primary
206,Cyber Horizon,3,Secondary
232,Cyber Matrix,1,Primary
232,Cyber Matrix,5,Secondary
190,Cyber Nexus,6,Primary
190,Cyber Nexus,16,Secondary
164,Cyber Shield,1,Primary
164,Cyber Shield,2,Secondary
219,Cyber Shift,3,Secondary
219,Cyber Shift,4,Primary
341,Cyber Skyline,4,Secondary
341,Cyber Skyline,13,Primary
129,Cyber Strike,2,Secondary
129,Cyber Strike,17,Primary
107,Cyber Wolves,15,Secondary
107,Cyber Wolves,16,Primary
349,Dark Current,11,Primary
349,Dark Current,15,Secondary
33,Dark Energy,14,Primary
135,Dark Legion,13,Primary
135,Dark Legion,17,Secondary
69,Dark Matter,1,Primary
69,Dark Matter,5,Secondary
256,Dark Matter Core,3,Primary
256,Dark Matter Core,9,Secondary
290,Dark Matter Vanguard,1,Primary
290,Dark Matter Vanguard,17,Secondary
354,Deep Walker,9,Primary
354,Deep Walker,12,Secondary
182,Delta Core,3,Primary
182,Delta Core,15,Secondary
142,Delta Force,6,Primary
333,Delta Genesis,10,Primary
156,Delta Guard,16,Primary
211,Delta Horizon,3,Primary
237,Delta Matrix,3,Secondary
237,Delta Matrix,14,Primary
195,Delta Nexus,3,Primary
169,Delta Shield,9,Primary
169,Delta Shield,10,Secondary
224,Delta Shift,7,Primary
224,Delta Shift,14,Secondary
346,Delta Skyline,4,Primary
117,Delta Squad,1,Primary
117,Delta Squad,11,Secondary
41,Desert Fox,3,Primary
264,Desert Fox Division,6,Primary
53,Dragon Scale,12,Primary
276,Dragon Scale Elite,10,Primary
276,Dragon Scale Elite,17,Secondary
