community_id,community_name,region_name,gaming_platform,member_count,active_players,tournaments_hosted,top_player_rank,coaching_staff,content_creators
1,Nitro Wolves,North America,PC Steam,421,243,0,6846,0,2
2,Arcane Wolves,Europe,PC Steam,166,77,0,6846,0,1
3,Storm Front,Asia-Pacific,Discord Hub,115,36,0,2523,0,0
4,Frost Warriors,South America,Discord Hub,181,104,6,2523,3,14
5,Frozen North,Africa,Discord Hub,2800,1056,5,2523,0,3
6,Eco Force,United States,PlayStation Network,1078,345,11,789,3,8
7,Hellfire,United Kingdom,PlayStation Network,332,131,9,789,4,6
8,Iron Wolves,Canada,Discord Hub,3085,1149,0,3141,1,1
9,Clutch Factor,Germany,Discord Hub,1259,614,0,4648,0,1
10,Speed Demons,France,PlayStation Network,8635,2004,1,4648,0,1
11,Raging Bulls,Australia,Discord Hub,3020,975,11,2960,1,3
12,Iron Tide,South Korea,Discord Hub,913,451,0,5901,0,0
13,Byte Force,Japan,Discord Hub,9665,3270,3,5901,0,1
14,Ace Pack,Brazil,Xbox Live,50,26,0,2617,0,1
15,Neon Riders,Nordic,Nintendo Switch Online,1099,284,0,2617,0,2
16,Neon Wolves,Eastern Europe,PlayStation Network,560,295,0,6993,0,0
17,Thundercats,Middle East,Discord Hub,1663,824,4,6993,0,0
18,Lunar Strike,Southeast Asia,Discord Hub,213,157,0,6993,0,0
19,Flash Clan,Mexico,PlayStation Network,178,77,0,6993,0,1
20,Sunfire,Oceania,Discord Hub,115,61,0,6993,0,0
21,Black Hole Squad,Global East,Nintendo Switch Online,3842,1341,6,3992,1,0
22,Solar Monks,Global West,Discord Hub,1089,500,12,7197,0,0
23,Packet Loss,Central America,Discord Hub,1054,505,0,7197,0,1
24,Thunder Legion,Iberia,Discord Hub,1844,670,0,7197,0,1
25,Pixel Storm,Benelux,PlayStation Network,147,71,0,7197,0,1
26,Midnight Blade,Italy,Discord Hub,533,203,0,5007,0,0
27,Flick Masters,Spain,Discord Hub,367,164,0,2230,0,2
28,Galaxy Pact,Portugal,PC Steam,656,174,0,9128,0,0
29,Reaper Crew,Netherlands,Discord Hub,68819,8596,0,441,7,0
30,War Eagles,Belgium,Discord Hub,92,58,6,8058,2,0
31,Neon Flash,Switzerland,Discord Hub,674,377,0,8058,0,1
32,Entry Fraggers,Austria,PlayStation Network,573,287,0,8058,0,1
33,Dark Energy,Poland,Discord Hub,105,41,0,8058,0,0
34,Primal Rage,Turkey,Discord Hub,607,174,2,1521,0,0
35,Equinox Force,Ukraine,Discord Hub,2338,1228,0,3916,0,2
36,Broken Arrow Real,Czech Republic,Discord Hub,164,89,0,7434,0,2
37,War Hammer,Hungary,Xbox Live,13712,3220,0,5267,2,3
38,Starfall,Romania,Discord Hub,1873,782,5,3612,0,4
39,Black Ops Unit,Bulgaria,Discord Hub,289,153,0,3612,0,0
40,Warp Riders,Greece,Xbox Live,11475,1956,6,5179,2,0
41,Desert Fox,Croatia,PlayStation Network,803,374,6,5179,2,1
42,Crossfire Unit,Serbia,Discord Hub,191,128,0,9843,0,0
43,Havoc Unit,Slovakia,Xbox Live,210,110,0,4174,0,2
44,Iron Sharks,Slovenia,Nintendo Switch Online,3074,926,1,4174,2,1
45,Solar Ascent,Estonia,Discord Hub,10459,2863,0,4174,0,5
46,Input Lag,Latvia,Nintendo Switch Online,50,18,0,2536,0,0
47,Typhoon,Lithuania,Discord Hub,3839,1285,0,2536,0,0
48,Momentum Pack,Finland,PC Steam,595,279,3,2536,2,4
49,Ghost Wolves,Sweden,Nintendo Switch Online,508,202,0,2536,0,0
50,Viper Strike,Norway,Discord Hub,58,38,0,2536,0,1
51,Phantom Strike,Denmark,Discord Hub,50,23,0,2536,0,0
52,Impact Wolves,Iceland,Nintendo Switch Online,652,271,2,2536,0,2
53,Dragon Scale,Ireland,Nintendo Switch Online,754,263,0,4249,0,0
54,Ghost Protocol,New Zealand,PC Steam,50,18,4,8099,2,1
55,Dusk Raiders,Singapore,Discord Hub,637,305,0,8099,0,2
56,Sky Wolves,Malaysia,PC Steam,13592,3900,7,4183,1,0
57,Arcane Brotherhood,Thailand,PlayStation Network,3994,1059,0,8550,0,1
58,Plateau Riders,Vietnam,Discord Hub,1875,680,0,8550,0,1
59,Savage Storm,Philippines,Discord Hub,117,82,3,5904,0,5
60,Shadow Reapers,Indonesia,Discord Hub,330,86,0,8762,0,1
61,Helix Hunters,India,Discord Hub,7782,2466,0,1889,2,3
62,Spike Rush,Pakistan,Discord Hub,235,129,0,9123,0,2
63,Crystal Spire,Bangladesh,Discord Hub,102,42,0,8748,0,2
64,Eclipse Hunters,Sri Lanka,PlayStation Network,5950,1927,6,393,3,12
65,Eclipse Hunters B,Saudi Arabia,Xbox Live,1265,408,0,3097,0,2
66,Neon Surge,UAE,PC Steam,7339,1265,0,2060,0,5
