community_id,community_name,year_founded,avg_member_age,community_tier,region_name,gaming_platform
1,"Nitro Wolves",2020,17.10,Amateur,"North America","PC Steam"
2,"Arcane Wolves",2019,21.90,Amateur,Europe,"PC Steam"
3,"Storm Front",2016,26.10,Amateur,Asia-Pacific,"Discord Hub"
4,"Frost Warriors",2020,17.30,Professional,"South America","Discord Hub"
5,"Frozen North",2019,25.90,Semi-Pro,Africa,"Discord Hub"
6,"Eco Force",2022,22.50,Professional,"United States","PlayStation Network"
7,Hellfire,2020,24.80,Professional,"United Kingdom","PlayStation Network"
8,"Iron Wolves",2020,17.20,Semi-Pro,Canada,"Discord Hub"
9,"Clutch Factor",2020,21.60,Amateur,Germany,"Discord Hub"
10,"Speed Demons",2020,26.40,Semi-Pro,France,"PlayStation Network"
11,"Raging Bulls",2022,24.10,Semi-Pro,Australia,"Discord Hub"
12,"Iron Tide",2021,24.30,Amateur,"South Korea","Discord Hub"
13,"Byte Force",2016,23.30,Semi-Pro,Japan,"Discord Hub"
14,"Ace Pack",2020,31.80,Amateur,Brazil,"Xbox Live"
15,"Neon Riders",2017,26.00,Amateur,Nordic,"Nintendo Switch Online"
16,"Neon Wolves",2018,22.60,Amateur,"Eastern Europe","PlayStation Network"
17,Thundercats,2016,26.00,Semi-Pro,"Middle East","Discord Hub"
18,"Lunar Strike",2016,27.80,Amateur,"Southeast Asia","Discord Hub"
19,"Flash Clan",2016,21.40,Amateur,Mexico,"PlayStation Network"
20,Sunfire,2023,20.50,Amateur,Oceania,"Discord Hub"
21,"Black Hole Squad",2023,22.60,Semi-Pro,"Global East","Nintendo Switch Online"
22,"Solar Monks",2016,24.90,Semi-Pro,"Global West","Discord Hub"
23,"Packet Loss",2016,22.20,Amateur,"Central America","Discord Hub"
24,"Thunder Legion",2024,26.60,Amateur,Iberia,"Discord Hub"
25,"Pixel Storm",2016,23.20,Amateur,Benelux,"PlayStation Network"
26,"Midnight Blade",2019,22.50,Amateur,Italy,"Discord Hub"
27,"Flick Masters",2018,17.40,Amateur,Spain,"Discord Hub"
28,"Galaxy Pact",2019,22.10,Amateur,Portugal,"PC Steam"
29,"Reaper Crew",2019,22.60,Elite,Netherlands,"Discord Hub"
30,"War Eagles",2023,20.80,Semi-Pro,Belgium,"Discord Hub"
31,"Neon Flash",2020,27.40,Amateur,Switzerland,"Discord Hub"
32,"Entry Fraggers",2018,22.10,Amateur,Austria,"PlayStation Network"
33,"Dark Energy",2020,29.60,Amateur,Poland,"Discord Hub"
34,"Primal Rage",2013,24.60,Amateur,Turkey,"Discord Hub"
35,"Equinox Force",2023,23.10,Semi-Pro,Ukraine,"Discord Hub"
36,"Broken Arrow Real",2016,25.90,Amateur,"Czech Republic","Discord Hub"
37,"War Hammer",2018,14.00,Semi-Pro,Hungary,"Xbox Live"
38,Starfall,2024,29.60,Semi-Pro,Romania,"Discord Hub"
39,"Black Ops Unit",2019,14.00,Amateur,Bulgaria,"Discord Hub"
40,"Warp Riders",2019,26.60,Semi-Pro,Greece,"Xbox Live"
41,"Desert Fox",2023,25.00,Semi-Pro,Croatia,"PlayStation Network"
42,"Crossfire Unit",2020,24.10,Amateur,Serbia,"Discord Hub"
43,"Havoc Unit",2024,22.40,Amateur,Slovakia,"Xbox Live"
44,"Iron Sharks",2010,32.60,Semi-Pro,Slovenia,"Nintendo Switch Online"
45,"Solar Ascent",2020,22.90,Semi-Pro,Estonia,"Discord Hub"
46,"Input Lag",2021,22.70,Amateur,Latvia,"Nintendo Switch Online"
47,Typhoon,2021,27.30,Semi-Pro,Lithuania,"Discord Hub"
48,"Momentum Pack",2018,22.00,Semi-Pro,Finland,"PC Steam"
49,"Ghost Wolves",2015,26.40,Amateur,Sweden,"Nintendo Switch Online"
50,"Viper Strike",2020,23.00,Amateur,Norway,"Discord Hub"
51,"Phantom Strike",2024,22.20,Amateur,Denmark,"Discord Hub"
